"","V1"
"1210",2454
"1211",2484
"1212",2511
"1213",2537
"1214",2562
"1215",2583
"1216",2603
"1217",2620
"1218",2635
"1219",2648
"1220",2660
"1221",2670
"1222",2679
"1223",2687
"1224",2695
"1225",2704
"1226",2713
"1227",2724
"1228",2735
"1229",2748
"1230",2763
"1231",2779
"1232",2797
"1233",2816
"1234",2836
"1235",2857
"1236",2879
"1237",2900
"1238",2922
"1239",2943
"1240",2962
"1241",2980
"1242",2997
"1243",3011
"1244",3024
"1245",3034
"1246",3042
"1247",3048
"1248",3052
"1249",3055
"1250",3057
"1251",3059
"1252",3061
"1253",3064
"1254",3068
"1255",3073
"1256",3080
"1257",3088
"1258",3098
"1259",3110
"1260",3123
"1261",3137
"1262",3152
"1263",3168
"1264",3184
"1265",3200
"1266",3215
"1267",3228
"1268",3240
"1269",3249
"1270",3257
"1271",3261
"1272",3262
"1273",3260
"1274",3254
"1275",3244
"1276",3230
"1277",3212
"1278",3190
"1279",3164
"1280",3133
"1281",3097
"1282",3057
"1283",3013
"1284",2968
"1285",2920
"1286",2870
"1287",2819
"1288",2767
"1289",2715
"1290",2664
"1291",2613
"1292",2564
"1293",2517
"1294",2472
"1295",2428
"1296",2388
"1297",2350
"1298",2314
"1299",2280
"1300",2262
